CookerStat, GenerateAssetRegistry=0.029650, Initialize=0.288289, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B0AEB9C54A54599484CFB28331A3D9CC__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=3302, Duration=0.605568, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_396223F24951FD6E3891EAB6CCC9C418__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=4285, Duration=0.532705, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0AF2B8D145C77F5B8DD597A71B384D22__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=3104, Duration=0.490796, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_46095BC94D3A3917C6F6D083B5C739C2__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=4344, Duration=0.446498, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ACEDAA3F4D3B71AA6D427FA5B7845E87__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=3344, Duration=0.678174, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A5DA45804FB653681A2D1EA4786A5543__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=2669, Duration=0.566620, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0C20A2BE4E53FD4171040AA12096B133__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=5970, Duration=25.692436, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3E91183B4A0F8B59465EC3809FEBCA0C__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1839, Duration=25.768030, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BBE58D954507DDFCA55A218E7B46F29E__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=3609, Duration=0.452135, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D973D8CF42AD9DE30A2A3A8D27E2566A__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=867, Duration=0.468466, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FEE155714DDA752394FFDC8B6FF83C61__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1162, Duration=0.485621, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EEF22C6E4E623532EC62AB9918EACD5C__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1616, Duration=0.461619, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
