CookerStat, GenerateAssetRegistry=0.028528, Initialize=0.216756, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5B571271B242DE9DA9296CB5A107D91__9B79075F4C133F72EEA2814467B1392E1C03CC5A, StartTime=2016.07.27-11.26.02, HierarchicalDDC=, DataSize=840, Duration=0.734996, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
SavePackageTransactionId00EAD3123445733CC37C779B2791A1A7_0, Filename=../../../../../../joshpage/Uptime/Content/StarterContent/Architecture/Floor_400x400.uasset, AutoPackageBackupDelegate=60.180790, FlushAsyncLoading=0.008471, FlushStreamingFunc=0.080027, BlockTillAllRequestsFinished=0.046130, ResetLoadersForSaveUnMarkAllObjects=24.286318, TagPackageExports=0.039387, BeginCacheForCookedPlatformData=0.001725, SerializeImports=8.775733, GatherLocalizableTextData=11.651389, MarkNames=0.043627, SerializeSummary=4.584741, SerializeNames=0.084255, SerializeGatherableTextData=0.012372, BuildExportMap=0.098571, SortExportsNonSeekfree=0.060152, SortExportsSeekfreeConstructor=13.355058, SortExportsSeekfreeInner=0.658233, SortExportsSeekfree=0.004165, BuildDependencyMap=0.062060, SerializeImportMap=0.016585, SerializeExportMap=0.005882, SerializeDependencyMap=0.001956, SerializeStringAssetReferenceMap=0.011947, SaveThumbNailsAssetRegistryDataWorldLevelInfo=29.061735, SerializeExports=0.217721, SerializeBulkData=0.038426, MoveFile=22.474249, UnaccountedTime=0.552900, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F43A66D8439B0876EDEC1181140191DB__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=5003, Duration=22.899042, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0196841540EDE6809874A2BA08D57363__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2497, Duration=0.734944, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2C5631B34EEED107DA939999ACFB5183__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=1579, Duration=0.452332, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EFE458F140D1923D4C54A2847545AFC4__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=3088, Duration=9.346206, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A447F0AC45072BCA0F1798980707AB84__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2281, Duration=25.616291, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8DA1F47D4FBD355BD3D5AC8650DBD519__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2379, Duration=24.945072, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8ED514294F54B3C3D631AE85FF2FAD4C__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2019, Duration=0.375196, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AD393A834BDBA49641D7A18369659823__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2579, Duration=26.888718, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5BACE2704B42E4D73B4551812757490B__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2133, Duration=0.447415, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5656E2334157CFD0DB417786D6CAA896__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=3257, Duration=0.630658, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_86D0D1EB4F12A95B8E7D60AF56661038__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2726, Duration=4.784305, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5F946B5F4480943037C606968A895688__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=3478, Duration=4.655711, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F62675DC4E36FB2131BF4FAF7B6A7B9F__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=3446, Duration=0.439636, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_40817036415676C1003A079818BB75AF__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2105, Duration=0.419926, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E0BFB67142455223403B55909FFE25BD__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=4030, Duration=15.339326, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2BFEA83C49410C41AF52F6857C41334E__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=5596, Duration=0.470173, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7537D29A443761FD3E1155A00D8AE566__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2138, Duration=0.534918, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3FE40237495F75AF0BD9C2B88CDB503E__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=3587, Duration=0.433587, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_75B8070F4829200E55F177A0FE89827D__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2954, Duration=0.435565, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_73C758A144B88BBC628D018CCFFF5123__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=3028, Duration=54.460678, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3DC3720648FAF30B6105CC9FC4EFF8FF__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2541, Duration=30.918844, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B88ACE4043C5E6BAC312C2B258720571__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=3199, Duration=7.166430, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A3E8A43F407348A08655ACA90DFFB57C__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=3665, Duration=0.508640, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_30D7FBCC45CA9C655FE507AC50257EBB__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2319, Duration=1.088601, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
